"Per","Freq","c0","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","Phi_ss_M53","Phi_ss_M67","Tau_0_M53","Tau_0_M67","Phi_s2s_meas","Phi_s2s_prxy","Tau_r","Phi_lin","Zseis","Rcross","v0","v1","v2","v3","m1","m2","m3","d1","d2","z1","z2","z3","z4","z5","z6","h0","h1","h2","h3","h4","h5","h6"
0.01,100,-2.33013226174792,0.511361844317196,-0.136530959309828,-0.356538727890257,-2.8212193793774,0.24467655834245,-2.09116843790396,0.692094246999585,-1.26611139801666,0.0227855032616338,-0.127305079151207,0.0782627129061285,-0.0168384041337862,0.67252014705395,-0.584282801315216,0.0184989969713862,0.00365078594653606,0.488154168985395,0.278939179271422,0.597474709816384,0.24302096259401,0.358327984736127,0.443787090728586,0.303657475570633,0.3,3,80,800,200,1000,360,5.3,6.7,6,14,20,-51.1836045573847,27.0275853253784,-4.46831011349868,0.231042322978764,3.16656659735911,127.111306822588,0.168,0.242,1.471,-0.714,1,-0.336,-0.27
0.02,50,-2.4184503806704,0.543810303222514,-0.191390577991923,-0.196058841983488,-2.81132163808568,0.240831617746986,-2.30864676475972,0.734980729068439,-1.27288694818465,0.0216710982667101,-0.124997319821664,0.0782946379436975,-0.0159375955874374,1.04324799345561,-0.574355965186889,0.0148017503443509,0.00318995254441253,0.488496546822009,0.280681099521981,0.597376899354052,0.243272196764486,0.361534086181052,0.44654301994024,0.304094380151491,0.3,3,80,800,200,1000,360,5.3,6.7,6,14,20,-51.1836045573847,27.0275853253784,-4.46831011349868,0.231042322978764,3.16656659735911,127.111306822588,0.166,0.244,1.467,-0.711,1,-0.339,-0.263
0.03,33.333,-1.86916875812997,0.463787123621074,-0.169210873399274,-0.185501686696187,-2.91150449579273,0.255091662001723,-2.19789608446769,0.711650987828618,-1.28796662514141,0.0170961902329256,-0.113485166604653,0.0803877906285261,-0.0186902697444544,1.09382736249044,-0.545549527555044,0.00554769373045194,0.00221420433656523,0.49222716149231,0.28480180184274,0.609858472670377,0.242650441125785,0.36851258368245,0.450780132858832,0.301147907262645,0.3,3,80,800,200,1000,360,5.3,6.7,6,14,20,-51.1836045573847,27.0275853253784,-4.46831011349868,0.231042322978764,3.16656659735911,127.111306822588,0.167,0.246,1.467,-0.713,1,-0.338,-0.259
0.05,20,-1.09491107105153,0.392103587529273,-0.105515574607686,-0.1259506445267,-2.98122895850373,0.255516957389691,-2.27020817437148,0.732122565675994,-1.36707339007191,-0.00232720515541939,-0.0952689268557557,0.085540976883954,-0.0203525602609915,1.14086217553718,-0.464485542846708,-0.0154540844379139,-0.00026386194776967,0.503985120988897,0.295977099109664,0.645418367700625,0.254640804136682,0.385454622127754,0.464413626875572,0.30414197237083,0.3,3,80,800,200,1000,360,5.3,6.7,6,14,20,-51.1836045573847,27.0275853253784,-4.46831011349868,0.231042322978764,3.16656659735911,127.111306822588,0.173,0.251,1.449,-0.701,1,-0.338,-0.263
0.075,13.333,-1.01344514323431,0.448267255168521,-0.130427984676136,-0.0966866751397873,-2.90030932255282,0.234776776655477,-2.26661963451054,0.737420990615669,-1.47374155054772,-0.0104467078760873,-0.0793583106939715,0.0894295649752799,-0.0211296001988482,1.12927780910962,-0.394055677644186,-0.0387702133834365,-0.00370780054877216,0.497297574460535,0.29223006697353,0.667776207184298,0.253429240270366,0.402660338375366,0.48535666265607,0.312155663079429,0.3,3,80,800,200,1000,360,5.3,6.7,6,14,20,-51.1836045573847,27.0275853253784,-4.46831011349868,0.231042322978764,3.16656659735911,127.111306822588,0.198,0.26,1.435,-0.695,1,-0.347,-0.219
0.1,10,-1.65898189017573,0.599123878529217,-0.202586333139155,-0.122306697650728,-2.71954378456483,0.204432087723593,-2.23543276825997,0.74170968710935,-1.5079430309259,0.000766812957775708,-0.0934485110807541,0.0873373192593014,-0.0148754818599413,1.13629628429959,-0.402115398074749,-0.0476584173029879,-0.00441816202552959,0.492115442432664,0.282137557147386,0.649152450167367,0.239149171908709,0.414617468839626,0.499316886825645,0.32187727742246,0.3,3,80,800,200,1000,360,5.3,6.7,6,14,20,-51.1836045573847,27.0275853253784,-4.46831011349868,0.231042322978764,3.16656659735911,127.111306822588,0.174,0.259,1.449,-0.708,1,-0.391,-0.201
0.15,6.667,-2.66728696129178,0.771957557213329,-0.334491895293143,-0.241160063429525,-2.54169602162749,0.189358198020218,-2.12955374237848,0.718100332591113,-1.43292110495348,0.0116464518210202,-0.141591221481024,0.0770327995361195,-0.00334900624633296,1.03800297165778,-0.486847185370924,-0.0224900181932572,-0.00126963317534582,0.494561107971843,0.266905047572502,0.594964707408711,0.223079107661948,0.411173040771552,0.515352248351575,0.333656772435231,0.3,3,80,800,200,1000,360,5.3,6.7,6,14,20,-51.1836045573847,27.0275853253784,-4.46831011349868,0.231042322978764,3.16656659735911,127.111306822588,0.198,0.254,1.461,-0.715,1,-0.449,-0.099
0.2,5,-3.08276037674191,0.779793661330656,-0.437631198723469,-0.339300658089034,-2.57942414058962,0.216823010125005,-2.0937643154984,0.694557715679712,-1.30931756986655,0.0275435092517775,-0.181188623956214,0.0713705500515466,-0.00567769308334764,0.964825689702556,-0.605706549846054,0.0101317346983402,0.0017197058121287,0.504293358351077,0.268744330418987,0.556682640850036,0.242990900310921,0.406810605941872,0.503923186543186,0.336797354187715,0.3,3,80,800,200,1000,360,5.3,6.7,6,14,20,-51.1836045573847,27.0275853253784,-4.46831011349868,0.231042322978764,3.16656659735911,127.111306822588,0.204,0.237,1.484,-0.721,1,-0.393,-0.198
0.25,4,-3.96602101519799,0.899040370789769,-0.525997975731322,-0.342945055419491,-2.49825306974416,0.211400144992339,-2.23024549392397,0.703416030290147,-1.21164327515699,0.0456622660795764,-0.194010592719351,0.0668951580674638,-0.0114302290860575,0.921757783149222,-0.694305703277202,0.034206930943647,0.00561455631846616,0.50855694991212,0.275645769029275,0.541751534298589,0.235901462131618,0.398054179970093,0.500084581234021,0.32948673652474,0.3,3,80,800,200,1000,360,5.3,6.7,6,14,20,-51.1836045573847,27.0275853253784,-4.46831011349868,0.231042322978764,3.16656659735911,127.111306822588,0.185,0.206,1.581,-0.787,1,-0.339,-0.21
0.3,3.333,-4.76689192875808,1.00673198330509,-0.570459247322611,-0.39498615281756,-2.41885233405009,0.203511294595704,-2.15533328950236,0.685869638147472,-1.13079108702356,0.0415518587914869,-0.201641623493461,0.0635743645103628,-0.0126791353129265,0.919715713411695,-0.76766888678859,0.0543872221198778,0.00822763632196986,0.502813605048149,0.28129115917551,0.523701986234352,0.229564569982452,0.390943087549454,0.488109895742801,0.32117039631507,0.3,3,80,800,200,1000,360,5.3,6.7,6,14,20,-51.1836045573847,27.0275853253784,-4.46831011349868,0.231042322978764,3.16656659735911,127.111306822588,0.164,0.21,1.586,-0.795,1,-0.447,-0.121
