Per,sig_c,sig_f,V1,V2
0.001,0.1,0.02,200,800
0.007,0.1,0.01918577,200,800
0.008,0.1,0.01912989,200,800
0.01,0.1,0.01903652,200,800
0.011,0.10068752,0.01942329,200,800
0.012,0.10131517,0.01977638,200,800
0.013,0.10189256,0.02010119,200,800
0.014,0.10242713,0.02040192,200,800
0.016,0.10339036,0.02094378,200,800
0.018,0.10423999,0.02142174,200,800
0.02,0.105,0.02184929,200,800
0.022,0.10523506,0.02223606,200,800
0.025,0.10555034,0.02275481,200,800
0.029,0.10591639,0.02335709,200,800
0.03,0.106,0.02349466,200,800
0.032,0.10675805,0.02431656,200,800
0.035,0.10781061,0.02545776,200,800
0.036,0.10814149,0.02581652,200,800
0.04,0.10937903,0.02715828,200,800
0.042,0.1099521,0.02777962,200,800
0.044,0.11049851,0.02837205,200,800
0.045,0.11076247,0.02865824,200,800
0.046,0.11102063,0.02893814,200,800
0.048,0.11152052,0.02948013,200,800
0.05,0.112,0.03,200,800
0.055,0.11378755,0.03157534,200,800
0.06,0.11541945,0.03301351,200,800
0.065,0.11692065,0.0343365,200,800
0.067,0.11748903,0.0348374,200,800
0.07,0.11831055,0.03556139,200,800
0.075,0.11960451,0.03670175,200,800
0.08,0.12081494,0.03776847,200,800
0.085,0.12195195,0.03877051,200,800
0.09,0.12302396,0.03971525,200,800
0.095,0.12403799,0.04060891,200,800
0.1,0.125,0.04145671,200,800
0.11,0.12630133,0.04176411,200,800
0.112,0.12654734,0.04182222,200,800
0.113,0.12666871,0.04185089,200,800
0.114,0.12678901,0.04187931,200,800
0.115,0.12690825,0.04190747,200,800
0.116,0.12702647,0.0419354,200,800
0.117,0.12714367,0.04196308,200,800
0.118,0.12725987,0.04199053,200,800
0.119,0.12737509,0.04201775,200,800
0.12,0.12748934,0.04204474,200,800
0.125,0.12804671,0.0421764,200,800
0.13,0.12858221,0.0423029,200,800
0.133,0.12889372,0.04237648,200,800
0.135,0.12909751,0.04242462,200,800
0.14,0.12959405,0.04254191,200,800
0.15,0.13053605,0.04276443,200,800
0.16,0.13141724,0.04297258,200,800
0.17,0.13224498,0.04316811,200,800
0.18,0.1330254,0.04335246,200,800
0.19,0.13376361,0.04352684,200,800
0.2,0.13446395,0.04369228,200,800
0.22,0.13576527,0.04399968,200,800
0.24,0.13695329,0.04428031,200,772.903945
0.25,0.13751066,0.04441197,200,759.56686
0.26,0.13804616,0.04453847,200,746.752935
0.28,0.139058,0.04477748,200,722.540882
0.29,0.13953712,0.04489066,200,711.076085
0.3,0.14,0.045,200,700
0.32,0.13747317,0.04436829,200,706.31708
0.34,0.13509958,0.04377489,200,712.251064
0.35,0.13396465,0.04349116,200,715.088386
0.36,0.13286169,0.04321542,200,717.845772
0.38,0.13074484,0.04268621,200,723.137913
0.4,0.12873658,0.04218415,200,728.15854
0.42,0.12682634,0.04170658,200,732.934158
0.44,0.12500497,0.04125124,200,737.487573
0.45,0.12412511,0.04103128,200,739.687233
0.46,0.12326458,0.04081615,200,741.838545
0.48,0.12159828,0.04039957,200,746.004312
0.5,0.12,0.04,200,750
0.55,0.11764936,0.03882468,200,727.378942
0.6,0.1155034,0.0377517,200,706.727534
0.65,0.1135293,0.03676465,200,687.73008
0.667,0.11289256,0.03644628,200,681.602474
0.7,0.11170157,0.03585079,200,670.141186
0.75,0.11,0.035,200,653.766316
0.8,0.1077566,0.0327566,200,641.704395
0.85,0.10564926,0.03064926,200,630.373961
0.9,0.10366239,0.02866239,200,619.691345
0.95,0.10178299,0.02678299,200,609.586456
1,0.1,0.025,200,600
1.1,0.09656241,0.0227583,200,573.057358
1.2,0.09342414,0.02071179,200,548.460653
1.3,0.09053721,0.01882918,200,525.833878
1.4,0.08786433,0.01708615,200,504.884756
1.5,0.08537594,0.01546344,200,485.38159
1.6,0.0830482,0.01394549,200,467.137597
1.7,0.08086163,0.01251959,200,450
1.8,0.07528305,0.01117522,200,450
1.9,0.07000616,0.00990356,200,450
2,0.065,0.00869714,200,450
2.2,0.05980278,0.00798251,200,450
2.4,0.05505809,0.00733011,200,450
2.5,0.05283208,0.00702403,200,450
2.6,0.0506934,0.00672996,200,450
2.8,0.04665232,0.00617431,200,450
3,0.04289017,0.00565701,200,450
3.2,0.03937092,0.00517311,200,450
3.4,0.03606508,0.00471855,200,450
3.5,0.03448441,0.0045012,200,450
3.6,0.03294826,0.00428998,200,450
3.8,0.03,0.00388459,200,450
4,0.028,0.0035,200,450
4.2,0.02743689,0.00346481,200,446.480534
4.4,0.02689997,0.00343125,200,443.124824
4.6,0.02638693,0.00339918,200,439.918307
4.8,0.02589573,0.00336848,200,436.84828
5,0.02542458,0.00333904,200,433.903595
5.5,0.02432455,0.00327028,200,427.028419
6,0.0233203,0.00320752,200,420.751875
6.5,0.02239648,0.00314978,200,414.978014
7,0.02154116,0.00309632,200,409.632254
7.5,0.02074488,0.00304656,200,404.65547
8,0.02,0.003,200,400
8.5,0.01972832,0.00294566,200,400
9,0.01947217,0.00289443,200,400
9.5,0.01922987,0.00284597,200,400
10,0.019,0.0028,200,400
