Frequency,sigma_c,V1,V2,sigma_f,,,,,,,,
0.013,0.0165,231,1100,0.0047,,,,,,,,
0.014,0.015655205,227.4868418,1054.668926,0.004564007,,,,,,,,
0.015,0.01486872,224.2161697,1012.466706,0.0044374,,,,,,,,
0.016,0.014133012,221.1566604,972.9891661,0.004318967,,,,,,,,
0.017,0.013441921,218.2826931,935.9057173,0.004207717,,,,,,,,
0.018,0.012790343,215.5730447,900.9425116,0.004102828,,,,,,,,
0.019,0.012174003,213.0099371,867.8701563,0.00400361,,,,,,,,
0.02,0.011589285,210.5783302,836.4945831,0.003909484,,,,,,,,
0.021,0.011033101,208.2653865,806.6501485,0.00381995,,,,,,,,
0.022,0.010502795,206.0600614,778.1943401,0.003734583,,,,,,,,
0.023,0.009996067,203.9527837,751.0036606,0.003653011,,,,,,,,
0.024,0.009510908,201.9352051,724.9703883,0.003574911,,,,,,,,
0.025,0.009045557,200,700,0.0035,,,,,,,,
0.026,0.008910951,200,696.039153,0.003441241,,,,,,,,
0.027,0.008781426,200,692.2278081,0.0033847,,,,,,,,
0.028,0.008656612,200,688.5550887,0.003330215,,,,,,,,
0.029,0.008536178,200,685.0112636,0.003277643,,,,,,,,
0.03,0.008419827,200,681.5875916,0.003226853,,,,,,,,
0.031,0.008307292,200,678.2761916,0.003177728,,,,,,,,
0.032,0.00819833,200,675.0699333,0.003130164,,,,,,,,
0.033,0.008092721,200,671.9623449,0.003084063,,,,,,,,
0.034,0.007990266,200,668.9475344,0.003039338,,,,,,,,
0.035,0.00789078,200,666.0201221,0.00299591,,,,,,,,
0.036,0.007794097,200,663.1751832,0.002953705,,,,,,,,
0.037,0.007700064,200,660.4081977,0.002912657,,,,,,,,
0.038,0.007608538,200,657.7150073,0.002872704,,,,,,,,
0.039,0.00751939,200,655.091778,0.002833788,,,,,,,,
0.04,0.007432499,200,652.5349666,0.002795858,,,,,,,,
0.041,0.007347753,200,650.041293,0.002758865,,,,,,,,
0.042,0.00726505,200,647.6077137,0.002722763,,,,,,,,
0.043,0.007184293,200,645.2314005,0.00268751,,,,,,,,
0.044,0.007105393,200,642.90972,0.002653068,,,,,,,,
0.045,0.007028266,200,640.6402165,0.0026194,,,,,,,,
0.046,0.006952834,200,638.4205964,0.002586472,,,,,,,,
0.047,0.006879024,200,636.2487137,0.002554252,,,,,,,,
0.048,0.006806769,200,634.1225582,0.002522711,,,,,,,,
0.049,0.006736003,200,632.0402442,0.00249182,,,,,,,,
0.05,0.006666667,200,630,0.002461553,,,,,,,,
0.051,0.006666667,200,628.0464285,0.002427973,,,,,,,,
0.052,0.006666667,200,626.1307928,0.002395044,,,,,,,,
0.054,0.006666667,200,622.4076287,0.002331046,,,,,,,,
0.055,0.006666667,200,620.5974469,0.00229993,,,,,,,,
0.056,0.006666667,200,618.8198828,0.002269375,,,,,,,,
0.058,0.006666667,200,615.3580491,0.002209869,,,,,,,,
0.059,0.006666667,200,613.6716467,0.002180881,,,,,,,,
0.06,0.006666667,200,612.0135885,0.002152381,,,,,,,,
0.062,0.006666667,200,608.7788024,0.002096777,,,,,,,,
0.063,0.006666667,200,607.2003345,0.002069644,,,,,,,,
0.065,0.006666667,200,604.1172042,0.002016648,,,,,,,,
0.066,0.006666667,200,602.6110355,0.001990758,,,,,,,,
0.068,0.006666667,200,599.6659768,0.001940135,,,,,,,,
0.069,0.006666667,200,598.225774,0.001915379,,,,,,,,
0.071,0.006666667,200,595.4069497,0.001866925,,,,,,,,
0.072,0.006666667,200,594.0271771,0.001843208,,,,,,,,
0.074,0.006666667,200,591.3242097,0.001796746,,,,,,,,
0.076,0.006726214,200,588.6187641,0.001759344,,,,,,,,
0.078,0.006842992,200,585.909994,0.001730632,,,,,,,,
0.079,0.006900263,200,584.5815457,0.001716551,,,,,,,,
0.081,0.007012661,200,581.9743653,0.001688917,,,,,,,,
0.083,0.007122318,200,579.430781,0.001661956,,,,,,,,
0.085,0.007229363,200,576.947764,0.001635637,,,,,,,,
