Frequency,f3,f4,f5,Vf,Vg,
0.013,0.0452,0.0005,-0.023413,687.224,702.374,
0.014,0.0452,0.0005,-0.023413,687.224,702.374,
0.015,0.0452,0.0005,-0.023413,687.224,702.374,
0.016,0.0452,0.0005,-0.023413,687.224,702.374,
0.017,0.0452,0.0005,-0.023413,687.224,702.374,
0.018,0.0452,0.0005,-0.023413,687.224,702.374,
0.019,0.0452,0.0005,-0.023413,687.224,702.374,
0.02,0.0452,0.000498,-0.023413,687.224,702.374,
0.021,0.0452,0.000493,-0.023413,687.224,702.374,
0.022,0.0452,0.000488,-0.023413,687.224,702.374,
0.023,0.0452,0.000483,-0.023413,687.224,702.374,
0.024,0.0452,0.00048,-0.023413,687.224,702.374,
0.025,0.0452,0.000475,-0.023413,687.224,702.374,
0.026,0.0452,0.00047,-0.023413,687.224,702.374,
0.027,0.0452,0.000468,-0.023413,687.224,702.374,
0.028,0.0452,0.000463,-0.023413,687.224,702.374,
0.029,0.0452,0.00046,-0.023413,687.224,702.374,
0.03,0.0452,0.000455,-0.023413,687.224,702.374,
0.031,0.0452,0.000453,-0.023413,687.224,702.374,
0.032,0.0452,0.000447,-0.023413,687.224,702.374,
0.033,0.0452,0.000445,-0.023413,687.224,702.374,
0.034,0.0452,0.000442,-0.023413,687.224,702.374,
0.035,0.0452,0.000437,-0.023413,687.224,702.374,
0.036,0.0452,0.000435,-0.023413,687.224,702.374,
0.037,0.0452,0.000432,-0.023413,687.224,702.374,
0.038,0.0452,0.00043,-0.023413,687.224,702.374,
0.039,0.0452,0.000427,-0.023413,687.224,702.374,
0.04,0.0452,0.000425,-0.023413,687.224,702.374,
0.041,0.0452,0.000422,-0.023413,687.224,702.374,
0.042,0.0452,0.00042,-0.023413,687.224,702.374,
0.043,0.0452,0.000417,-0.023413,687.224,702.374,
0.044,0.0452,0.000415,-0.023413,687.224,702.374,
0.045,0.0452,0.000412,-0.023413,687.224,702.374,
0.046,0.0452,0.00041,-0.023413,687.224,702.374,
