Period,sigma_c,V1,V2,sigma_f,,,,,,,,
0.001,0.1,200,1200,0.02,,,,,,,,
0.007,0.1,200,1125.342392,0.019185766,,,,,,,,
0.008,0.1,200,1120.21927,0.019129892,,,,,,,,
0.01,0.1,200,1111.658051,0.019036521,,,,,,,,
0.011,0.100687518,200,1139.899339,0.019423287,,,,,,,,
0.012,0.101315172,200,1165.681614,0.019776377,,,,,,,,
0.013,0.101892558,200,1189.399009,0.020101188,,,,,,,,
0.014,0.102427134,200,1211.357886,0.020401916,,,,,,,,
0.016,0.10339036,200,1250.924472,0.020943783,,,,,,,,
0.018,0.104239985,200,1285.824675,0.021421744,,,,,,,,
0.02,0.105,200,1317.04397,0.021849294,,,,,,,,
0.022,0.105235064,200,1345.285257,0.02223606,,,,,,,,
0.025,0.10555034,200,1383.163467,0.022754805,,,,,,,,
0.029,0.105916388,200,1427.141687,0.023357089,,,,,,,,
0.03,0.106,200,1437.18703,0.023494661,,,,,,,,
0.032,0.10675805,200,1470.391238,0.024316556,,,,,,,,
0.035,0.107810606,200,1516.495499,0.025457762,,,,,,,,
0.036,0.108141493,200,1530.989039,0.025816517,,,,,,,,
0.04,0.109379025,200,1585.195619,0.027158278,,,,,,,,
0.042,0.109952099,200,1610.297508,0.027779618,,,,,,,,
0.044,0.110498509,200,1634.231435,0.028372048,,,,,,,,
0.045,0.110762468,200,1645.79342,0.028658239,,,,,,,,
0.046,0.111020625,200,1657.101274,0.028938139,,,,,,,,
0.048,0.111520517,200,1678.997628,0.029480134,,,,,,,,
0.05,0.112,200,1700,0.03,,,,,,,,
0.055,0.113787546,200,1611.850773,0.031575338,,,,,,,,
0.06,0.115419447,200,1531.376834,0.033013508,,,,,,,,
0.065,0.116920651,200,1457.347986,0.034336497,,,,,,,,
0.067,0.117489029,200,1429.319572,0.0348374,,,,,,,,
0.07,0.118310549,200,1388.807978,0.035561393,,,,,,,,
0.075,0.119604513,200,1324.998758,0.036701745,,,,,,,,
0.08,0.120814935,200,1265.309218,0.037768472,,,,,,,,
0.085,0.121951952,200,1209.239514,0.038770508,,,,,,,,
0.09,0.12302396,200,1156.375592,0.039715253,,,,,,,,
0.095,0.124037992,200,1106.37061,0.040608905,,,,,,,,
0.1,0.125,200,1058.931142,0.041456708,,,,,,,,
0.11,0.126301326,200,1027.792048,0.041764107,,,,,,,,
0.112,0.126547343,200,1021.905164,0.041822221,,,,,,,,
0.113,0.126668709,200,1019.001027,0.04185089,,,,,,,,
0.114,0.126789006,200,1016.122478,0.041879306,,,,,,,,
0.115,0.126908252,200,1013.26907,0.041907474,,,,,,,,
0.116,0.127026466,200,1010.440366,0.041935399,,,,,,,,
0.117,0.127143665,200,1007.635944,0.041963083,,,,,,,,
0.118,0.127259866,200,1004.855389,0.041990532,,,,,,,,
0.119,0.127375087,200,1002.098299,0.04201775,,,,,,,,
0.12,0.127489343,200,999.3642818,0.042044739,,,,,,,,
0.125,0.12804671,200,986.0271972,0.0421764,,,,,,,,
0.13,0.128582214,200,973.2132723,0.042302897,,,,,,,,
0.133,0.128893716,200,965.7594158,0.042376479,,,,,,,,
0.135,0.129097505,200,960.8830087,0.042424618,,,,,,,,
0.14,0.129594053,200,949.0012191,0.042541913,,,,,,,,
0.15,0.130536054,200,926.460337,0.042764432,,,,,,,,
0.16,0.131417236,200,905.3747499,0.042972584,,,,,,,,
0.17,0.13224498,200,885.5678854,0.043168113,,,,,,,,
0.18,0.133025397,200,866.8934768,0.043352463,,,,,,,,
0.19,0.133763609,200,849.2290016,0.043526843,,,,,,,,
0.2,0.134463946,200,832.470805,0.043692276,,,,,,,,
0.22,0.135765272,200,801.3317107,0.043999675,,,,,,,,
0.24,0.13695329,200,772.9039448,0.044280308,,,,,,,,
0.25,0.137510657,200,759.5668602,0.044411969,,,,,,,,
0.26,0.13804616,200,746.7529353,0.044538465,,,,,,,,
0.28,0.139058,200,722.5408822,0.044777481,,,,,,,,
0.29,0.139537122,200,711.0760846,0.044890659,,,,,,,,
0.3,0.14,200,700,0.045,,,,,,,,
0.32,0.137473168,200,706.3170795,0.044368292,,,,,,,,
0.34,0.135099575,200,712.2510635,0.043774894,,,,,,,,
0.35,0.133964646,200,715.0883856,0.043491161,,,,,,,,
0.36,0.132861691,200,717.8457724,0.043215423,,,,,,,,
0.38,0.130744835,200,723.1379131,0.042686209,,,,,,,,
0.4,0.128736584,200,728.1585397,0.042184146,,,,,,,,
0.42,0.126826337,200,732.9341581,0.041706584,,,,,,,,
0.44,0.125004971,200,737.4875725,0.041251243,,,,,,,,
0.45,0.124125107,200,739.6872327,0.041031277,,,,,,,,
0.46,0.123264582,200,741.8385448,0.040816146,,,,,,,,
0.48,0.121598275,200,746.0043122,0.040399569,,,,,,,,
0.5,0.12,200,750,0.04,,,,,,,,
0.55,0.117649362,200,727.378942,0.038824681,,,,,,,,
0.6,0.115503397,200,706.7275341,0.037751699,,,,,,,,
0.65,0.113529301,200,687.7300804,0.036764651,,,,,,,,
0.667,0.112892559,200,681.6024736,0.036446279,,,,,,,,
0.7,0.111701574,200,670.1411855,0.035850787,,,,,,,,
0.75,0.11,200,653.7663161,0.035,,,,,,,,
0.8,0.107756603,200,641.7043948,0.032756603,,,,,,,,
0.85,0.105649255,200,630.3739613,0.030649255,,,,,,,,
0.9,0.103662394,200,619.6913445,0.028662394,,,,,,,,
0.95,0.101782985,200,609.5864558,0.026782985,,,,,,,,
1,0.1,200,600,0.025,,,,,,,,
1.1,0.096562412,200,573.0573581,0.022758299,,,,,,,,
1.2,0.09342414,200,548.4606531,0.020711786,,,,,,,,
1.3,0.090537209,200,525.8338779,0.018829177,,,,,,,,
1.4,0.087864329,200,504.8847562,0.017086154,,,,,,,,
1.5,0.085375937,200,485.3815904,0.015463437,,,,,,,,
1.6,0.083048202,200,467.1375973,0.013945488,,,,,,,,
1.7,0.080861631,200,450,0.012519593,,,,,,,,
1.8,0.075283046,200,450,0.011175224,,,,,,,,
1.9,0.070006157,200,450,0.009903559,,,,,,,,
2,0.065,200,450,0.008697138,,,,,,,,
2.2,0.059802779,200,450,0.007982513,,,,,,,,
2.4,0.055058089,200,450,0.007330112,,,,,,,,
2.5,0.052832084,200,450,0.007024033,,,,,,,,
2.6,0.050693396,200,450,0.006729961,,,,,,,,
2.8,0.046652322,200,450,0.006174308,,,,,,,,
3,0.042890172,200,450,0.005657007,,,,,,,,
3.2,0.039370916,200,450,0.005173105,,,,,,,,
3.4,0.036065083,200,450,0.004718548,,,,,,,,
3.5,0.034484406,200,450,0.004501203,,,,,,,,
3.6,0.032948261,200,450,0.004289981,,,,,,,,
3.8,0.03,200,450,0.003884591,,,,,,,,
4,0.028,200,450,0.0035,,,,,,,,
4.2,0.027436885,200,446.4805336,0.003464805,,,,,,,,
4.4,0.026899972,200,443.1248238,0.003431248,,,,,,,,
4.6,0.026386929,200,439.9183069,0.003399183,,,,,,,,
4.8,0.025895725,200,436.8482797,0.003368483,,,,,,,,
5,0.025424575,200,433.9035953,0.003339036,,,,,,,,
5.5,0.024324547,200,427.0284191,0.003270284,,,,,,,,
6,0.0233203,200,420.751875,0.003207519,,,,,,,,
6.5,0.022396482,200,414.9780141,0.00314978,,,,,,,,
7,0.021541161,200,409.6322539,0.003096323,,,,,,,,
7.5,0.020744875,200,404.6554702,0.003046555,,,,,,,,
8,0.02,200,400,0.003,,,,,,,,
8.5,0.019728316,200,400,0.002945663,,,,,,,,
9,0.019472165,200,400,0.002894433,,,,,,,,
9.5,0.019229867,200,400,0.002845973,,,,,,,,
10,0.019,200,400,0.0028,,,,,,,,
