Period,f3,f4,f5,Vf,Vg,,,,,,,,,
0.001,0.07,-0.220799,-0.007322,300,300,,,,,,,,,
0.007,0.074016,-0.239622,-0.006536,300,300,,,,,,,,,
0.008,0.074515,-0.240058,-0.006374,300,300,,,,,,,,,
0.01,0.075,-0.24,-0.0062,300,300,,,,,,,,,
0.011,0.0788,-0.244104,-0.006192,300,300,,,,,,,,,
0.012,0.080813,-0.246279,-0.006188,300,300,,,,,,,,,
0.013,0.083048,-0.248692,-0.006184,300,300,,,,,,,,,
0.014,0.087456,-0.253453,-0.006175,300,300,,,,,,,,,
0.016,0.09244,-0.258835,-0.006165,300,300,,,,,,,,,
0.018,0.096563,-0.263288,-0.006157,300,300,,,,,,,,,
0.02,0.1,-0.267,-0.00615,300,300,,,,,,,,,
0.022,0.102351,-0.267235,-0.006185,300,300,,,,,,,,,
0.025,0.105503,-0.26755,-0.006233,300,300,,,,,,,,,
0.029,0.109164,-0.267916,-0.006287,300,300,,,,,,,,,
0.03,0.11,-0.268,-0.0063,300,300,,,,,,,,,
0.032,0.113365,-0.268449,-0.006322,300,300,,,,,,,,,
0.035,0.118038,-0.269072,-0.006354,300,300,,,,,,,,,
0.036,0.119506,-0.269268,-0.006363,300,300,,,,,,,,,
0.04,0.125,-0.27,-0.0064,300,300,,,,,,,,,
0.042,0.12828,-0.271531,-0.0064,300,300,,,,,,,,,
0.044,0.131407,-0.27299,-0.0064,300,300,,,,,,,,,
0.045,0.132918,-0.273695,-0.0064,300,300,,,,,,,,,
0.046,0.134395,-0.274384,-0.0064,300,300,,,,,,,,,
0.048,0.137256,-0.275719,-0.0064,300,300,,,,,,,,,
0.05,0.14,-0.277,-0.0064,300,300,,,,,,,,,
0.055,0.150578,-0.284757,-0.006306,300,300,,,,,,,,,
0.06,0.160235,-0.291839,-0.00622,300,300,,,,,,,,,
0.065,0.169118,-0.298353,-0.006141,300,300,,,,,,,,,
0.067,0.171929,-0.300414,-0.006116,300,300,,,,,,,,,
0.07,0.177343,-0.304385,-0.006068,300,300,,,,,,,,,
0.075,0.183038,-0.308677,-0.00601,300,300,,,,,,,,,
0.08,0.188365,-0.312692,-0.005955,300,300,,,,,,,,,
0.085,0.191526,-0.315221,-0.005913,300,300,,,,,,,,,
0.09,0.194506,-0.317605,-0.005873,300,300,,,,,,,,,
0.095,0.197326,-0.31986,-0.005836,300,300,,,,,,,,,
0.1,0.2,-0.322,-0.0058,300,300,,,,,,,,,
0.11,0.205936,-0.319179,-0.005871,300,300,,,,,,,,,
0.112,0.207058,-0.318646,-0.005884,300,300,,,,,,,,,
0.113,0.207612,-0.318383,-0.00589,300,300,,,,,,,,,
0.114,0.20816,-0.318122,-0.005897,300,300,,,,,,,,,
0.115,0.208704,-0.317864,-0.005903,300,300,,,,,,,,,
0.116,0.209243,-0.317607,-0.00591,300,300,,,,,,,,,
0.117,0.209778,-0.317353,-0.005916,300,300,,,,,,,,,
0.118,0.210308,-0.317101,-0.005922,300,300,,,,,,,,,
0.119,0.210834,-0.316852,-0.005929,300,300,,,,,,,,,
0.12,0.211355,-0.316604,-0.005935,300,300,,,,,,,,,
0.125,0.213897,-0.315396,-0.005965,300,300,,,,,,,,,
0.13,0.21634,-0.314235,-0.005994,300,300,,,,,,,,,
0.133,0.217916,-0.313486,-0.006013,300,300,,,,,,,,,
0.135,0.21869,-0.313118,-0.006022,300,300,,,,,,,,,
0.14,0.220955,-0.312042,-0.006049,300,300,,,,,,,,,
0.15,0.225252,-0.31,-0.0061,300,300,,,,,,,,,
0.16,0.230804,-0.30823,-0.006135,300,300,,,,,,,,,
0.17,0.236019,-0.306568,-0.006169,300,300,,,,,,,,,
0.18,0.240936,-0.305,-0.0062,300,300,,,,,,,,,
0.19,0.245587,-0.305,-0.0062,300,300,,,,,,,,,
0.2,0.25,-0.28,-0.0056,300,300,,,,,,,,,
0.22,0.25,-0.238644,-0.006198,293.593,300,,,,,,,,,
0.24,0.25,-0.219147,-0.006744,287.744,300,,,,,,,,,
0.25,0.25,-0.21,-0.007,285,300,,,,,,,,,
0.26,0.25,-0.201395,-0.007215,285,300,,,,,,,,,
0.28,0.25,-0.185137,-0.007622,285,300,,,,,,,,,
0.29,0.25,-0.177438,-0.007814,285,300,,,,,,,,,
0.3,0.25,-0.17,-0.008,285,300,,,,,,,,,
0.32,0.25,-0.157661,-0.008359,287.093,299.328,,,,,,,,,
0.34,0.25,-0.146071,-0.008696,289.06,298.698,,,,,,,,,
0.35,0.25,-0.140529,-0.008857,290,298.396,,,,,,,,,
0.36,0.25,-0.135143,-0.009014,292.11,300.844,,,,,,,,,
0.38,0.25,-0.124806,-0.009315,296.159,305.543,,,,,,,,,
0.4,0.25,-0.115,-0.0096,300,310,,,,,,,,,
0.42,0.25,-0.106254,-0.010125,295.858,310,,,,,,,,,
0.44,0.25,-0.097915,-0.010625,291.908,310,,,,,,,,,
0.45,0.25,-0.093887,-0.010867,290,310,,,,,,,,,
0.46,0.25,-0.089947,-0.011103,290,310,,,,,,,,,
0.48,0.25,-0.082318,-0.011561,290,310,,,,,,,,,
0.5,0.25,-0.075,-0.012,290,310,,,,,,,,,
0.55,0.25,-0.064422,-0.013175,282.159,307.649,,,,,,,,,
0.6,0.25,-0.054765,-0.014248,275,305.503,,,,,,,,,
0.65,0.25,-0.045882,-0.015235,275,303.529,,,,,,,,,
0.667,0.25,-0.043072,-0.015548,275,302.905,,,,,,,,,
0.7,0.25,-0.037657,-0.016149,275,301.702,,,,,,,,,
0.75,0.25,-0.03,-0.017,280,300,,,,,,,,,
0.8,0.25,-0.02653,-0.017885,274.69,300,,,,,,,,,
0.85,0.25,-0.023271,-0.018716,269.703,300,,,,,,,,,
0.9,0.25,-0.020198,-0.0195,265,300,,,,,,,,,
0.95,0.25,-0.016761,-0.020783,262.434,300,,,,,,,,,
1,0.25,-0.0135,-0.022,260,300,,,,,,,,,
1.1,0.25,-0.012,-0.022,260,320,,,,,,,,,
1.2,0.25,-0.01,-0.022,255,330,,,,,,,,,
1.3,0.25,-0.008206,-0.022,258.587,335.921,,,,,,,,,
1.4,0.25,-0.006546,-0.022,261.908,341.403,,,,,,,,,
1.5,0.25,-0.005,-0.022,265,346.507,,,,,,,,,
1.6,0.25,-0.00343,-0.022,284.069,358.508,,,,,,,,,
1.7,0.25,-0.001954,-0.022,301.981,369.78,,,,,,,,,
1.8,0.25,-0.000564,-0.022,318.87,380.409,,,,,,,,,
1.9,0.25,0.000752,-0.022,334.845,390.462,,,,,,,,,
2,0.25,0.002,-0.022,350,400,,,,,,,,,
2.2,0.25,0.002353,-0.022,373.506,411.753,,,,,,,,,
2.4,0.25,0.002674,-0.022,394.966,422.483,,,,,,,,,
2.5,0.25,0.002826,-0.022,405.034,427.517,,,,,,,,,
2.6,0.25,0.002971,-0.022,414.707,432.353,,,,,,,,,
2.8,0.25,0.003245,-0.022,432.984,441.492,,,,,,,,,
3,0.25,0.0035,-0.022,450,450,,,,,,,,,
3.2,0.25,0.0035,-0.022,461.217,461.217,,,,,,,,,
3.4,0.25,0.0035,-0.022,471.754,471.754,,,,,,,,,
3.5,0.25,0.0035,-0.022,476.792,476.792,,,,,,,,,
3.6,0.25,0.0035,-0.022,481.688,481.688,,,,,,,,,
3.8,0.25,0.0035,-0.022,491.085,491.085,,,,,,,,,
4,0.25,0.0035,-0.022,500,500,,,,,,,,,
4.2,0.25,0.0035,-0.022,500,500,,,,,,,,,
4.4,0.25,0.0035,-0.022,500,500,,,,,,,,,
4.6,0.25,0.0035,-0.022,500,500,,,,,,,,,
4.8,0.25,0.0035,-0.022,500,500,,,,,,,,,
5,0.25,0.0035,-0.022,500,500,,,,,,,,,
5.5,0.25,0.0035,-0.022,500,500,,,,,,,,,
6,0.25,0.0035,-0.022,500,500,,,,,,,,,
6.5,0.25,0.0035,-0.022,500,500,,,,,,,,,
7,0.25,0.0035,-0.022,500,500,,,,,,,,,
7.5,0.25,0.0035,-0.022,500,500,,,,,,,,,
8,0.25,0.0035,-0.022,500,500,,,,,,,,,
8.5,0.25,0.0035,-0.022,500,500,,,,,,,,,
9,0.25,0.0035,-0.022,500,500,,,,,,,,,
9.5,0.25,0.0035,-0.022,500,500,,,,,,,,,
10,0.25,0.0035,-0.022,500,500,,,,,,,,,
