region_id,region_name,region_level,station_count
1,INTERIOR PLAINS-GREAT PLAINS-RATON - Undifferentiated Tertiary and Mesozoic rocks,2,6
2,INTERMONTANE PLATEAUS-BASIN AND RANGE-GREAT BASIN - CAs,1,6
3,INTERMONTANE PLATEAUS-BASIN AND RANGE-GREAT BASIN - MZPZu,1,6
4,INTERMONTANE PLATEAUS-BASIN AND RANGE-GREAT BASIN - MZgr,1,20
5,INTERMONTANE PLATEAUS-BASIN AND RANGE-GREAT BASIN - PZms,1,15
6,INTERMONTANE PLATEAUS-BASIN AND RANGE-GREAT BASIN - QTs,1,6
7,INTERMONTANE PLATEAUS-BASIN AND RANGE-GREAT BASIN - Qa,1,168
8,INTERMONTANE PLATEAUS-BASIN AND RANGE-GREAT BASIN - Ql,1,11
9,INTERMONTANE PLATEAUS-BASIN AND RANGE-GREAT BASIN - Qp,1,5
10,INTERMONTANE PLATEAUS-BASIN AND RANGE-GREAT BASIN - Qv,1,12
11,INTERMONTANE PLATEAUS-BASIN AND RANGE-GREAT BASIN - Tertiary rocks,2,9
12,INTERMONTANE PLATEAUS-BASIN AND RANGE-GREAT BASIN - Ti,1,7
13,INTERMONTANE PLATEAUS-BASIN AND RANGE-GREAT BASIN - Tva,1,13
14,INTERMONTANE PLATEAUS-BASIN AND RANGE-GREAT BASIN - Tvi,1,19
15,INTERMONTANE PLATEAUS-BASIN AND RANGE-GREAT BASIN - Tvr,1,14
16,INTERMONTANE PLATEAUS-BASIN AND RANGE-GREAT BASIN - Undifferentiated Paleozoic rocks,2,7
17,INTERMONTANE PLATEAUS-BASIN AND RANGE-GREAT BASIN - UnknownLargeGroup,2,6
18,INTERMONTANE PLATEAUS-BASIN AND RANGE-GREAT BASIN - mTs,1,6
19,INTERMONTANE PLATEAUS-BASIN AND RANGE-SALTON TROUGH - Qa,1,106
20,INTERMONTANE PLATEAUS-BASIN AND RANGE-SALTON TROUGH - Qao,1,12
21,INTERMONTANE PLATEAUS-BASIN AND RANGE-SALTON TROUGH - Qs,1,7
22,INTERMONTANE PLATEAUS-BASIN AND RANGE-SONORAN DESERT - MZgr,1,14
