station_id,station_latitude,station_longitude,dataRegion,Division,Province,Section,GeoUnit,basin_label_vec,bouguer,vs30,vs30_code_id,basin_label,regional_label_v3,vs_F0_100,vs_F0_126,vs_F0_158,vs_F0_200,vs_F0_251,vs_F0_316,vs_F0_398,vs_F0_501,vs_F0_631,vs_F0_794,vs_F1_000,vs_F1_259,vs_F1_585,vs_F1_995,vs_F10_000,vs_F12_589,vs_F15_849,vs_F19_953,vs_F2_512,vs_F3_162,vs_F3_981,vs_F5_012,vs_F6_310,vs_F7_943,rg_F0_100,rg_F0_126,rg_F0_158,rg_F0_200,rg_F0_251,rg_F0_316,rg_F0_398,rg_F0_501,rg_F0_631,rg_F0_794,rg_F1_000,rg_F1_259,rg_F1_585,rg_F1_995,rg_F10_000,rg_F12_589,rg_F15_849,rg_F19_953,rg_F2_512,rg_F3_162,rg_F3_981,rg_F5_012,rg_F6_310,rg_F7_943,physio_name,LargeGroup,region_name,region_level,region_id
2,35.16,-119.34,conterminousUS,PACIFIC MOUNTAIN SYSTEM,PACIFIC BORDER,CALIFORNIA TROUGH,QTs,3,-89.0546036,485.94,3,1,85,-9999.0,0.840783193,0.036738702,0.280045408,0.505934685,0.97241789,0.623622979,0.777411436,0.321364877,0.399953401,0.666777913,0.659835933,0.377090096,0.517360023,-0.444102225,-9999.0,-9999.0,-9999.0,0.617935596,0.651860052,0.346508298,0.579745624,0.051285021,-0.175308092,-9999.0,0.674545686,-0.030685741,0.130071673,0.484289308,0.877768305,0.59205659,0.780103028,0.446362521,0.508753132,0.742978139,0.635687628,0.312003668,0.439856263,-0.373213604,-9999.0,-9999.0,-9999.0,0.543638278,0.501154596,0.191237232,0.341234944,-0.117058775,-0.227017424,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA TROUGH,Quaternary and Tertiary rocks,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA TROUGH - QTs,1,108
3,33.801,-118.387,conterminousUS,PACIFIC MOUNTAIN SYSTEM,PACIFIC BORDER,LOS ANGELES RANGES,Qao,0,-10.3578997,280.6,0,1,103,-9999.0,-9999.0,-9999.0,-9999.0,1.531356175,1.429405413,1.088567088,0.544518228,1.75659402,1.530310846,1.411001557,1.347444521,1.025031609,1.035581901,-0.417209748,-0.800316506,-0.999691694,-9999.0,0.935931868,0.87757943,0.349511779,0.404497832,0.028458768,-0.249483003,-9999.0,-9999.0,-9999.0,-9999.0,1.261997657,1.192573888,0.932614559,0.462977889,1.699594739,1.535474639,1.465001282,1.229617576,0.901775033,1.0299577,-0.055396401,-0.310907109,-0.918894135,-9999.0,0.97892559,0.856915804,0.35825235,0.35384505,0.073942246,-0.005992869,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-LOS ANGELES RANGES,"Quaternary units, undifferentiated",PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-LOS ANGELES RANGES - Qao,1,125
4,37.62,-118.82,conterminousUS,PACIFIC MOUNTAIN SYSTEM,CASCADE-SIERRA MOUNTAINS,SIERRA NEVADA,Qa,0,-255.2079926,371.092,3,0,28,-9999.0,-9999.0,-9999.0,-9999.0,1.06708306,1.292242385,1.134434649,0.888271673,1.3812657,1.34583937,1.237201181,0.934591612,1.236879799,1.113138555,-0.515790203,-0.651611185,-0.687896015,0.002469998,1.005266337,1.01176488,0.713676962,0.375255416,0.336842248,-0.089861418,-9999.0,-9999.0,-9999.0,-9999.0,0.793484188,0.964586961,0.871662008,0.695429906,1.313402295,1.279419747,1.224990729,0.761436506,1.067045091,1.017267399,-0.27888221,-0.262933787,-0.639481304,-0.34319201,0.90805131,0.890277233,0.585561263,0.227433184,0.268885852,-0.005146103,PACIFIC MOUNTAIN SYSTEM-CASCADE-SIERRA MOUNTAINS-SIERRA NEVADA,"Quaternary units, undifferentiated",PACIFIC MOUNTAIN SYSTEM-CASCADE-SIERRA MOUNTAINS-SIERRA NEVADA - Qa,1,56
5,36.0109,-120.253,conterminousUS,PACIFIC MOUNTAIN SYSTEM,PACIFIC BORDER,CALIFORNIA COAST RANGES,QTs,0,-60.8166008,418.594,3,0,73,-9999.0,-9999.0,-9999.0,0.650401601,1.05619696,0.922775944,0.669745441,1.258659999,1.319658277,1.361711709,1.31224481,1.345717781,1.277196761,1.220433965,0.06023755,-0.252146649,-0.620214921,-0.834394693,0.877084517,0.739170978,0.47329452,0.586426095,0.175364621,0.206651465,-9999.0,-9999.0,-9999.0,0.740273209,1.245167947,1.151618223,0.986312443,1.526548422,1.635683361,1.706206544,1.718585358,1.577724965,1.480874536,1.462021822,9.22e-05,-0.148301475,-0.804484562,-1.315791844,1.118645386,0.85640216,0.485325446,0.413352321,-0.000975106,0.141598795,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES,Quaternary and Tertiary rocks,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES - QTs,1,81
6,36.2108,-120.263,conterminousUS,PACIFIC MOUNTAIN SYSTEM,PACIFIC BORDER,CALIFORNIA COAST RANGES,QTs,2,-66.7778015,510.358,3,2,73,-9999.0,-9999.0,-9999.0,-9999.0,-0.062080317,0.102418312,0.269562162,0.539868545,0.637993928,0.805007233,0.903720049,0.78624167,0.699708333,0.507869352,0.377831522,-0.343874352,-0.644320324,-0.195550792,0.439107375,0.477768498,0.091574478,0.0738311,0.056704472,0.013949163,-9999.0,-9999.0,-9999.0,-9999.0,0.7056587,0.757200557,0.92910794,1.163624176,1.282376151,1.430770985,1.510039146,1.191501886,1.057310034,0.908018316,0.287200075,-0.223405549,-0.838859772,-0.706924968,0.814329073,0.679400148,0.186134049,0.0216255,-0.083557071,-0.039630316,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES,Quaternary and Tertiary rocks,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES - QTs,1,81
8,36.2367,-120.381,conterminousUS,PACIFIC MOUNTAIN SYSTEM,PACIFIC BORDER,CALIFORNIA COAST RANGES,plTs,1,-57.4776001,434.881,3,1,71,-9999.0,0.435402501,0.750758935,0.870149929,1.055820034,0.854970333,0.916305554,0.952872872,0.96986008,1.131747111,0.981925475,0.887330675,0.403219177,0.14153391,0.307368984,0.467874328,1.26121601,0.531643307,-0.112729952,0.793794872,0.891081459,0.535565628,0.499170963,0.272701128,-9999.0,0.548842173,0.828387803,0.834675771,1.172597974,1.058253558,1.186413404,1.176508647,1.287658356,1.517613494,1.365154567,1.082810696,0.64789789,0.390284328,0.49834864,0.798927271,1.25542133,0.248959071,0.190802559,0.944657393,0.999365768,0.549633402,0.529127743,0.419796365,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES,Tertiary rocks,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES - plTs,1,92
9,36.3075,-120.251,conterminousUS,PACIFIC MOUNTAIN SYSTEM,PACIFIC BORDER,CALIFORNIA COAST RANGES,Qa,3,-66.5365982,270.41,0,3,72,-9999.0,-9999.0,-9999.0,1.053972742,1.238530796,1.304924902,1.352282323,1.376307093,1.629560867,1.343904722,1.331236003,1.301437445,1.414514034,1.506833438,-0.006856339,0.085602811,-0.282874606,-0.814677622,0.763406625,1.006529912,0.529722391,0.6463466,0.409842547,-0.245718749,-9999.0,-9999.0,-9999.0,1.165150464,1.464518594,1.537420015,1.661724135,1.645608049,1.943530616,1.652157755,1.652608216,1.425869246,1.543778575,1.678439853,-0.019389583,0.218227104,-0.451736117,-1.213228743,0.922912577,1.069315266,0.534784899,0.48382054,0.201155807,-0.301290231,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES,"Quaternary units, undifferentiated",PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES - Qa,1,82
10,36.1657,-120.309,conterminousUS,PACIFIC MOUNTAIN SYSTEM,PACIFIC BORDER,CALIFORNIA COAST RANGES,Qa,2,-64.4542999,246.51,0,2,72,-9999.0,0.900315136,0.993438162,1.10313195,0.856147493,1.243535315,1.149105484,1.507138125,1.485497828,1.281901888,1.308780383,1.480034801,1.371175172,1.584888207,-0.301746631,-0.735665101,-0.353213687,-0.866009885,1.427313562,0.968008836,0.401111392,0.032258657,-0.009276822,-0.164109997,-9999.0,0.899572768,1.073990186,1.089167358,1.086893858,1.416922005,1.406777672,1.699355841,1.7643845,1.583454121,1.61927719,1.596637109,1.48079665,1.676695618,-0.307168204,-0.617906975,-0.502990218,-1.316288822,1.473082828,0.954126439,0.35356957,-0.162785568,-0.246522211,-0.264273833,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES,"Quaternary units, undifferentiated",PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES - Qa,1,82
11,36.2108,-120.313,conterminousUS,PACIFIC MOUNTAIN SYSTEM,PACIFIC BORDER,CALIFORNIA COAST RANGES,plTs,0,-62.5708008,443.766,3,0,71,0.326245208,0.560347624,0.557697665,0.794645467,0.783050843,1.110592971,0.988524327,0.93559318,0.923110704,0.966739792,0.815717987,0.82789227,0.862159295,0.967329717,0.012820288,-0.680822909,-0.966015568,-0.918040758,0.814370254,0.698236428,0.1687905,0.294605006,0.309757411,0.047816823,0.453746822,0.649526204,0.606239099,0.710525301,0.861185906,1.230495612,1.20098109,1.131765146,1.209234834,1.317117496,1.228474031,1.043554322,1.11277138,1.201403082,0.208093954,-0.314706461,-0.890711066,-1.132929228,1.072445543,0.870029554,0.329332716,0.306606357,0.342106924,0.185706388,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES,Tertiary rocks,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES - plTs,1,92
12,36.1447,-120.171,conterminousUS,PACIFIC MOUNTAIN SYSTEM,PACIFIC BORDER,CALIFORNIA COAST RANGES,Qa,2,-73.4586029,288.682,3,2,72,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.344616047,0.239833742,0.344662344,0.593734342,0.578508816,0.516540579,0.155689276,-0.171992044,-0.456452977,-0.72598408,-0.989160065,0.282658726,0.378024781,0.255325418,-0.135899866,0.245350603,0.066366223,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.693060559,0.72647888,0.799804908,1.002270323,0.802821541,0.675613176,0.353908801,-0.189492086,-0.340092763,-0.894993447,-1.446559258,0.444243485,0.408551168,0.260496062,-0.251060045,0.031517538,-0.018534746,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES,"Quaternary units, undifferentiated",PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES - Qa,1,82
